SHAPE_ID,MBTA_ROUTE,STOP_ID
520102,52,8531
520102,52,8532
520106,52,900
520106,52,902
520106,52,1900
520106,52,903
520106,52,8517
520106,52,8518
520106,52,8519
520106,52,8520
520106,52,8521
520106,52,8522
520106,52,8523
520106,52,8524
520106,52,8525
520106,52,8526
520106,52,8527
520106,52,8528
520106,52,85281
520106,52,85282
520103,52,10833
520103,52,10832
520103,52,774
520103,52,775
520103,52,776
520103,52,8390
520103,52,8391
520103,52,8392
520103,52,8393
520103,52,8394
520103,52,833
520103,52,8473
520103,52,84731
520103,52,8472
520103,52,8474
520103,52,84741
520103,52,8475
520103,52,8476
520103,52,8477
520103,52,8478
520103,52,8479
520103,52,84791
520103,52,8480
520103,52,8481
520103,52,8482
520107,52,10833
520107,52,10832
520107,52,774
520107,52,775
520107,52,776
520107,52,8390
520107,52,8391
520107,52,8392
520107,52,8393
520107,52,8394
520107,52,833
520107,52,8473
520107,52,84731
520107,52,8472
520107,52,8474
520107,52,84741
520107,52,8475
520107,52,8476
520107,52,8477
520107,52,8478
520107,52,8479
520107,52,84791
520107,52,8480
080042,08,124
080042,08,125
080042,08,126
080042,08,29050
080042,08,29051
080042,08,29052
080042,08,9955
080042,08,128
080042,08,9960
080042,08,10
080042,08,56
080042,08,10014
080042,08,10005
080042,08,5090
080042,08,10015
080042,08,1790
080042,08,1791
080042,08,11792
080042,08,62
080042,08,63
080042,08,64
080042,08,1
080042,08,2
080042,08,11
080042,08,17863
080042,08,1798
080042,08,1799
080042,08,11799
080042,08,11802
080042,08,11803
080042,08,1804
080042,08,1805
080042,08,1806
080042,08,9441
080042,08,1562
080042,08,1563
080042,08,1564
3500034,350,141
3500034,350,22751
3500034,350,2275
3500034,350,2276
3500034,350,2277
240059,24,6411
240059,24,6413
240059,24,6415
240059,24,6417
240059,24,64171
240059,24,6418
240059,24,6419
240059,24,6357
240059,24,16358
240059,24,6359
240059,24,6360
240060,24,6390
240060,24,6357
240060,24,16358
270021,27,185
270021,27,10582
270021,27,583
270021,27,584
270021,27,585
270021,27,586
270021,27,587
270021,27,588
270021,27,589
270021,27,590
270021,27,591
360106,36,797
360106,36,798
360106,36,799
360106,36,800
360106,36,801
360106,36,802
3500034,350,2278
3500034,350,2279
3500034,350,2280
3500034,350,2281
3500034,350,2282
3500034,350,1656
3500034,350,1657
3500034,350,1658
3500034,350,1659
3500034,350,1660
240060,24,6359
240060,24,6360
240060,24,16360
240060,24,6361
240060,24,6362
240060,24,63621
240060,24,6364
240060,24,16364
240060,24,6365
240060,24,16365
240060,24,6366
240060,24,1721
240060,24,185
240060,24,10582
240060,24,583
240060,24,584
240060,24,585
240060,24,586
240060,24,587
240060,24,588
240060,24,589
240060,24,590
240060,24,591
240060,24,882
240060,24,593
240060,24,594
240060,24,595
240060,24,533
360106,36,803
360106,36,804
360106,36,805
360106,36,806
360106,36,807
360106,36,808
360106,36,810
360106,36,821
360106,36,812
360106,36,813
360106,36,814
360106,36,815
360104,36,67120
360104,36,10821
360104,36,774
360104,36,775
360104,36,776
360104,36,777
360104,36,10777
360104,36,778
080012,08,11781
080012,08,1784
080012,08,1785
080015,08,11242
080015,08,11243
080006,08,1779
080006,08,1780
080006,08,11780
080006,08,11781
080006,08,1784
080006,08,1785
080006,08,17861
080015,08,10134
080015,08,133
080015,08,134
080015,08,135
080015,08,136
080011,08,1805
080011,08,1806
080011,08,9441
080011,08,1562
080011,08,1563
080011,08,1564
070010,07,885
070010,07,880
070010,07,879
070011,07,16535
070011,07,6564
080006,08,17862
080006,08,1226
080006,08,11592
080006,08,1593
080006,08,64
080006,08,1
080006,08,2
080006,08,4
080006,08,5
080006,08,1787
080006,08,1788
990016,99,5078
990016,99,5079
990016,99,45079
990016,99,5080
990016,99,45080
990016,99,5081
990016,99,5083
990016,99,5084
990016,99,5085
990016,99,5086
990016,99,5087
990014,99,15058
990014,99,15059
990014,99,15060
990014,99,15061
990014,99,5059
990014,99,45059
990014,99,5060
990014,99,5061
990014,99,5062
990014,99,5079
990014,99,45079
990014,99,5080
990014,99,45080
990014,99,5081
990014,99,5066
990014,99,5067
990014,99,5068
1010064,101,2722
1010064,101,2723
1010064,101,2724
1010064,101,2725
1010064,101,2726
1010064,101,2727
1010064,101,2729
1010064,101,5305
1010064,101,5306
1010064,101,5307
1010064,101,5308
1010064,101,5309
1010064,101,5310
1010064,101,5311
1010064,101,5312
1010064,101,5314
1010064,101,5315
1010064,101,5316
1010064,101,5317
470034,47,62
470034,47,63
470034,47,64
470034,47,1
470034,47,2
240010,24,6390
240010,24,16391
240010,24,6391
240010,24,6392
240010,24,6393
240010,24,6394
240010,24,6395
240010,24,6396
240010,24,6397
240010,24,6398
240010,24,6399
240010,24,6400
240010,24,64001
240010,24,6401
240010,24,6402
100022,10,49
100022,10,50
100022,10,51
100022,10,52
100022,10,13
100022,10,9955
100022,10,56
100022,10,10101
100022,10,62
240010,24,6403
240010,24,16403
240010,24,6405
100007,10,175
100007,10,143
100007,10,178
